phase,domain,family,library_class,condition,bug_id,detected,parsed
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B01,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B01,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B02,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B02,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B03,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B03,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B04,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B04,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B05,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B05,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B06,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B06,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B07,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B07,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B08,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B08,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B09,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B09,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B10,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B10,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B11,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B11,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B12,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B12,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B13,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B13,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B14,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B14,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B15,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B15,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B16,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B16,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B17,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B17,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B18,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B18,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B19,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B19,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B20,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B20,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B21,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B21,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B22,1,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B22,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B23,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B23,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B24,0,1
P9_stdlib,csv_dom,codex,stdlib,mismatched,P9c_B24,0,1
P9_stdlib,csv_dom,codex,stdlib,cold,P9c_B25,0,1
